user_id,name,email,gender,age,location,account_creation_date,last_login_date,total_spent,transaction_frequency,average_transaction_value,last_transaction_date,number_of_transactions,favorite_payment_method,purchase_channel,preferred_device,preferred_language,time_on_site,page_views_per_session,average_cart_value,abandoned_cart_count,product_browsing_history,loyalty_program_member,loyalty_points_balance,email_open_rate,email_click_rate,SMS_opt_in,SMS_click_rate,best_time_in_the_day,best_day_in_a_week,best_week_in_a_month,coupon_usage_frequency,social_media_engagement,number_of_reviews_written,average_review_rating,referral_count,customer_service_interactions,live_chat_use_frequency,marketing_segment,campaign_engagement_score,preferred_communication_channel,click_through_rate,conversion_rate,discount_usage_rate,preferred_brand,brand_loyalty_index,lifetime_value_estimate,frequency_of_visits_per_week,returning_customer,shopping_basket_value,cart_conversion_rate,purchase_value_category,transaction_frequency_category,product_affinity,discount_affinity
94277,Julie Mcdaniel,kyle41@yahoo.com,F,57,New Kathleen,2024-05-31 00:00:00,2024-06-21 00:00:00,7181.36,5,1436.27,2024-01-21 00:00:00,5,Credit Card,online,desktop,Spanish,48,9,1436.27,0,school,False,1977,84.49,94.4,False,93.1,12,Friday,4,15.18,80,16,4.15,2,5,13,D,18,SMS,4.45,2.58,29.54,"Wade, Chandler and Romero",78,7181.36,5,True,1436.27,58.95,HV,HF,"Dress, Jeans, T-shirt",10
61121,Anthony Jacobs,allen36@yahoo.com,M,65,Davidmouth,2024-04-20 00:00:00,2024-03-20 00:00:00,4676.37,2,2338.18,2024-05-09 00:00:00,2,PayPal,in-store,desktop,French,99,5,2338.18,5,fly,False,2593,91.45,26.97,False,38.71,20,Tuesday,1,69.55,96,2,4.58,9,5,18,A,100,push notifications,5.16,0.72,99.54,Harris-Houston,6,4676.37,1,False,2338.18,22.4,HV,LF,"Jacket, Sweater, T-shirt",20
67609,Anna Martin,clarkmaurice@hotmail.com,F,65,West Michellefurt,2024-02-23 00:00:00,2024-02-03 00:00:00,86.95,4,21.74,2024-01-10 00:00:00,4,PayPal,in-store,mobile,Spanish,48,2,21.74,3,"throw, it, site",True,4488,72.38,59.82,True,40.32,0,Friday,5,31.1,11,9,4.2,1,8,11,B,11,email,4.62,9.76,68.51,Summers-Rosario,23,86.95,1,False,21.74,89.6,LV,HF,"Jeans, Sweater, Jacket",30
54233,Derek Johnston,yolandacarter@yahoo.com,M,26,North Todd,2024-01-21 00:00:00,2024-05-23 00:00:00,57.79,2,28.89,2024-03-09 00:00:00,2,PayPal,in-store,mobile,French,94,5,28.89,0,"central, focus",True,212,12.06,6.27,True,87.21,16,Thursday,2,57,25,11,3.85,2,2,38,B,35,email,4.18,0.61,27.22,"Roberts, Schultz and Simpson",49,57.79,4,True,28.89,62.09,LV,LF,"Sweater, T-shirt",20
72541,Dr. Lucas Jennings,bryanlivingston@yahoo.com,M,28,New Melody,2024-02-18 00:00:00,2024-01-25 00:00:00,9020.45,1,9020.45,2024-03-02 00:00:00,1,PayPal,online,desktop,English,107,2,9020.45,5,"technology, door, rule, tough, kid",True,4361,24.8,47.91,False,25.89,12,Monday,5,25.96,50,20,1.87,0,10,30,B,20,SMS,3.58,4.43,59.63,Alexander-Tucker,61,9020.45,4,False,9020.45,94.95,HV,LF,"Hoodie, Dress, Jeans",10
67138,Amber Martinez,rachel68@hotmail.com,F,50,Lake Ana,2024-04-23 00:00:00,2024-02-03 00:00:00,47.69,1,47.69,2024-02-27 00:00:00,1,Debit Card,online,desktop,English,86,5,47.69,0,"traditional, heavy",True,849,85.27,61.46,True,78.13,20,Saturday,2,47.62,76,7,2.11,9,4,19,D,72,email,7.77,3.05,63.67,Howard PLC,77,47.69,6,False,47.69,5.14,LV,LF,"Jeans, T-shirt",30
9982,Megan Sanford,robert90@gmail.com,F,41,Port Brian,2024-03-04 00:00:00,2024-01-08 00:00:00,22.46,1,22.46,2024-02-17 00:00:00,1,Credit Card,in-store,mobile,French,55,10,22.46,3,"recognize, owner, somebody, senior",False,1462,89.61,21.12,False,59,8,Thursday,5,80.26,64,17,1.83,5,4,22,C,72,SMS,8.33,5.61,58.14,Cox-Powell,3,22.46,5,False,22.46,31.21,LV,LF,"Dress, T-shirt",30
29216,Heather Garcia,jenna31@hotmail.com,F,40,North Michaelland,2024-04-24 00:00:00,2024-04-17 00:00:00,2341.82,4,585.46,2024-01-16 00:00:00,4,Credit Card,online,mobile,Spanish,17,9,585.46,0,"add, second, exist",True,2843,48.4,4.61,True,17.65,20,Friday,3,79.48,7,16,2.47,10,2,45,B,69,SMS,0.18,4.01,23.1,Sweeney-Michael,42,2341.82,6,True,585.46,87.75,HV,HF,"Hoodie, Jacket, T-shirt",0
38261,Harold Parker,inelson@hotmail.com,M,52,South Nicholas,2024-03-10 00:00:00,2024-06-30 00:00:00,5342.71,2,2671.36,2024-05-11 00:00:00,2,Credit Card,online,desktop,English,15,4,2671.36,4,"last, crime, would, control, reality",False,3383,2.58,38.19,False,85.46,12,Sunday,1,2.18,78,20,2.81,10,2,25,C,14,email,0.95,6.03,64.07,Nelson Inc,85,5342.71,5,True,2671.36,11.8,HV,LF,"T-shirt, Hoodie, Sweater, Jeans",10
88815,Taylor Daugherty,taylorrobert@yahoo.com,M,21,Port Tara,2024-02-15 00:00:00,2024-06-06 00:00:00,1371.12,7,195.87,2024-02-28 00:00:00,7,PayPal,online,desktop,Spanish,90,1,195.87,3,few,False,4749,67.65,16.61,True,83.7,16,Thursday,1,11.05,18,11,2.45,10,8,27,C,98,SMS,3.03,8.44,73.41,Choi Ltd,88,1371.12,4,True,195.87,79.31,HV,HF,"Sweater, Dress",0
